subject,description,product,channel
Cannot connect to WiFi,My laptop keeps disconnecting from WiFi every few minutes, especially when streaming video.,Dell XPS,Chat
Forgot my password,I can't log into my account and the reset email never arrived. Please help urgently.,Account Portal,Email
Charged twice this month,I noticed two identical charges on my card for the same subscription this billing cycle.,Subscription Service,Phone
Screen flickering after update,Since the last software update my monitor flickers randomly and sometimes goes black.,HP Monitor,Chat
Lost my files after crash,The application crashed while saving and now my project file is gone. Any way to recover it?,Design Suite,Email
How do I upgrade my plan,I want to move from the basic plan to premium but can't find the option in settings.,Subscription Service,Chat
Printer not detected,My printer was working yesterday but now the computer says no printer found.,Office Printer X200,Phone
Account locked after failed logins,I tried logging in a few times and now it says my account is locked for 24 hours.,Account Portal,Chat
Refund not received,I requested a refund two weeks ago and it still hasn't shown up on my statement.,Subscription Service,Email
Battery draining fast,My laptop battery used to last 8 hours and now it barely lasts 2 hours after the update.,Dell XPS,Chat
